Page,Link
"Leslie Lamport - Wikipedia, la enciclopedia libre",es.wikipedia.org/wiki/Leslie_Lamport
Leslie Lamport - Wikipedia,en.wikipedia.org/wiki/Leslie_Lamport
Leslie Lamport's Home Page,www.lamport.org
Leslie Lamport at Microsoft Research,www.microsoft.com/en-us/research/people/lamport
Leslie Lamport y su aporte a los sistemas distribuidos - YouTube,www.youtube.com/watch?v=RcE3EKSGgp4
Leslie Lamport - Ciberninjas,ciberninjas.com/leslie-lamport
The Writings of Leslie Lamport,lamport.azurewebsites.net/pubs/pubs.html
Todos los libros del autor Leslie Lamport,www.todostuslibros.com/autor/leslie-lamport
Leslie Lamport - A.M. Turing Award Laureate,amturing.acm.org/award_winners/lamport_1205376.cfm
"Leslie Lamport | Turing Award, Biography, & Facts | Britannica",www.britannica.com/biography/Leslie-Lamport
Leslie Lamport - frwiki.wiki,es.frwiki.wiki/wiki/Leslie_Lamport
